Case Number,Business Address,Parcel Number,Business Name,Owner Name,License Issued Date,License Type,License Description,Business Description,Location
BUS1997-01708,900 DORIS RD.,,ABSOLUTE SHREDS,ABSOLUTE SHREDS,01/19/2017,Renewal,Motor Truck Permit(s),Other,"location
(42.36638, -83.2847)"
BUS1997-01771,15000 HOUSTON-WHITTIER,21014335-7,EMPIRE LOUNGE,CAFE PHAROAH'S INC,05/06/2015,New Owner,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.42054, -82.96735)"
BUS1997-01771,15000 HOUSTON-WHITTIER,21014335-7,EMPIRE LOUNGE,CAFE PHAROAH'S INC,05/06/2015,New Owner,Restaurant W/Class C (MLCC) Lic.( 51-100 seats),Corporation,"location
(42.42054, -82.96735)"
BUS1997-01771,15000 HOUSTON-WHITTIER,21014335-7,EMPIRE LOUNGE,CAFE PHAROAH'S INC,11/22/2016,New Owner,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.42054, -82.96735)"
BUS1997-01781,21740 W MCNICHOLS,22113371-2,MARATHON GAS STATION,B & D GAS & MART INC.,12/18/2015,Renewal,Cigarette - Retail,Corporation,"location
(42.41515, -83.25719)"
BUS1997-01781,21740 W MCNICHOLS,22113371-2,MARATHON GAS STATION,B & D GAS & MART INC.,12/18/2015,Renewal,Gas Station (Self Service),Corporation,"location
(42.41515, -83.25719)"
BUS1997-01778,2200 WOODWARD AVENUE,01004142-54,"ODM PARKING, LLC-LOT 1-2","ODM PARKING, LLC",02/16/2016,Renewal,Parking Lot-Plate (301 cars & up),Corporation,"location
(42.33857, -83.05107)"
BUS1997-01778,2200 WOODWARD AVENUE,01004142-54,"ODM PARKING, LLC-LOT 1-2","ODM PARKING, LLC",04/06/2015,Renewal,Parking Lot-Plate (301 cars & up),Corporation,"location
(42.33857, -83.05107)"
BUS1997-01725,15901 SCHAEFER,22030726-7,AA & M PETRO INC,AA&M PETRO INC,11/07/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.40904, -83.17979)"
BUS1997-01725,15901 SCHAEFER,22030726-7,AA & M PETRO INC,AA&M PETRO INC,11/07/2018,New Owner,Gas Station (Self Service),Corporation,"location
(42.40904, -83.17979)"
BUS1997-01725,15901 SCHAEFER,22030726-7,AA & M PETRO INC,AA&M PETRO INC,01/30/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.40904, -83.17979)"
BUS1997-01725,15901 SCHAEFER,22030726-7,AA & M PETRO INC,AA&M PETRO INC,01/30/2018,New Owner,Gas Station (Self Service),Corporation,"location
(42.40904, -83.17979)"
BUS1997-01703,19486 SHERWOOD,15012027-42,"JOE LOUIS POST NO.375, THE AMERICAN LEGION",JOE LOUIS POST #375 AMERICAN LEGION,03/28/2016,Renewal,Hall - Rental,Corporation,"location
(42.43837, -83.03384)"
BUS1997-01703,19486 SHERWOOD,15012027-42,"JOE LOUIS POST NO.375, THE AMERICAN LEGION",JOE LOUIS POST #375 AMERICAN LEGION,11/30/2018,Renewal,Hall - Rental,Corporation,"location
(42.43837, -83.03384)"
BUS1997-01703,19486 SHERWOOD,15012027-42,"JOE LOUIS POST NO.375, THE AMERICAN LEGION",JOE LOUIS POST #375 AMERICAN LEGION,05/09/2017,Renewal,Hall - Rental,Corporation,"location
(42.43837, -83.03384)"
BUS1997-01703,19486 SHERWOOD,15012027-42,"JOE LOUIS POST NO.375, THE AMERICAN LEGION",JOE LOUIS POST #375 AMERICAN LEGION,07/29/2015,Renewal,Hall - Rental,Corporation,"location
(42.43837, -83.03384)"
BUS1997-01731,15290 GRATIOT,,GUERRA WHOLE SALES LLC,GUERRA WHOLE SALES LLC,07/20/2016,New Owner,Used Auto Dealer,Corporation,"location
(42.44743, -82.96946)"
BUS1997-01731,15290 GRATIOT,,GUERRA WHOLE SALES LLC,GUERRA WHOLE SALES LLC,07/28/2016,New Owner,Used Auto Dealer,Corporation,"location
(42.44743, -82.96946)"
BUS1997-01731,15290 GRATIOT,,GUERRA WHOLE SALES LLC,GUERRA WHOLE SALES LLC,12/08/2016,New Owner,Used Auto Dealer,Corporation,"location
(42.44743, -82.96946)"
BUS1997-01806,13008 CROMIE DR.,,LEONARDO MANIACI,LEONARDO MANIACI,01/04/2016,Renewal,Motor Truck Permit(s),Sole Proprietor,
BUS1997-01806,13008 CROMIE DR.,,LEONARDO MANIACI,LEONARDO MANIACI,01/19/2017,Renewal,Motor Truck Permit(s),Sole Proprietor,
BUS1997-01825,6070 EIGHTEEN MILE ROAD,,"CARRIER FLEET, LTD.","CARRIER FLEET, LTD.",12/17/2015,Renewal,Motor Truck Permit(s),Other,
BUS1997-01825,6070 EIGHTEEN MILE ROAD,,"CARRIER FLEET, LTD.","CARRIER FLEET, LTD.",04/11/2018,Renewal,Motor Truck Permit(s),Other,
BUS1997-01825,6070 EIGHTEEN MILE ROAD,,"CARRIER FLEET, LTD.","CARRIER FLEET, LTD.",02/02/2017,Renewal,Motor Truck Permit(s),Other,
BUS1997-01783,1259 BROADWAY,01004037.,E-Z PARKING,RIZWAN VIRK,04/02/2015,New Owner,Parking Lot-Plate (26-50 cars),Sole Proprietor,"location
(42.33439, -83.04562)"
BUS1997-01781,21740 W MCNICHOLS,22113371-2,MARATHON GAS STATION,B & D GAS & MART INC.,08/16/2017,Renewal,Cigarette - Retail,Corporation,"location
(42.41515, -83.25719)"
BUS1997-01781,21740 W MCNICHOLS,22113371-2,MARATHON GAS STATION,B & D GAS & MART INC.,08/16/2017,Renewal,Gas Station (Self Service),Corporation,"location
(42.41515, -83.25719)"
BUS1997-01786,6540 EVERGREEN,22094976-8,"EVERGREEN FISH EXPRESS, LLC","EVERGREEN FISH EXPRESS, LLC",04/21/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.33931, -83.23502)"
BUS1997-01786,6540 EVERGREEN,22094976-8,"EVERGREEN FISH EXPRESS, LLC","EVERGREEN FISH EXPRESS, LLC",04/21/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.33931, -83.23502)"
BUS1997-01786,6540 EVERGREEN,22094976-8,"EVERGREEN FISH EXPRESS, LLC","EVERGREEN FISH EXPRESS, LLC",08/16/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.33931, -83.23502)"
BUS1997-01784,2333 CASS,02002279-80,PAYNE-PULLIAM SCHOOL OF TRADE,PAYNE-PULLIAN SCHOOL OF TRADE,02/23/2016,Renewal,Parking Lot-Plate (1-25 cars),Corporation,"location
(42.29729, -83.25033)"
BUS1997-01784,2333 CASS,02002279-80,PAYNE-PULLIAM SCHOOL OF TRADE,PAYNE-PULLIAN SCHOOL OF TRADE,02/27/2017,Renewal,Parking Lot-Plate (1-25 cars),Corporation,"location
(42.29729, -83.25033)"
BUS1997-01784,2333 CASS,02002279-80,PAYNE-PULLIAM SCHOOL OF TRADE,PAYNE-PULLIAN SCHOOL OF TRADE,03/23/2018,Renewal,Parking Lot-Plate (1-25 cars),Corporation,"location
(42.29729, -83.25033)"
BUS1997-01784,2333 CASS,02002279-80,PAYNE-PULLIAM SCHOOL OF TRADE,PAYNE-PULLIAN SCHOOL OF TRADE,02/11/2015,Renewal,Parking Lot-Plate (1-25 cars),Corporation,"location
(42.29729, -83.25033)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",02/24/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",02/24/2016,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",04/13/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",04/13/2016,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",02/24/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",02/24/2016,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41464, -83.28392)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",08/17/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.41464, -83.28392)"
BUS1998-00016,5621 HOOVER,,MILES TRUCKING & EXCAVATING CO,MILES TRUCKING & EXCAVATING COMPAY,04/11/2016,Renewal,Motor Truck Permit(s),Other,"location
(42.24688, -83.19774)"
BUS1998-00016,5621 HOOVER,,MILES TRUCKING & EXCAVATING CO,MILES TRUCKING & EXCAVATING COMPAY,07/06/2018,Renewal,Motor Truck Permit(s),Other,"location
(42.24688, -83.19774)"
BUS1998-00039,14666 TELEGRAPH,22122461.001,MIDWEST AUTO AUCTION,GEORGE BADEEN,04/25/2017,Renewal,Auctioneer,Sole Proprietor,"location
(42.39394, -83.2754)"
BUS1998-00039,14666 TELEGRAPH,22122461.001,MIDWEST AUTO AUCTION,GEORGE BADEEN,04/26/2018,Renewal,Auctioneer,Sole Proprietor,"location
(42.39394, -83.2754)"
BUS1998-00064,10039 STRATHMOOR,22038173.,PETTAWAY'S LAWN CARE SERVICE,LASANDRA REYNOLDS,04/10/2015,Renewal,Landscape Gardner-Plate(s),Other,"location
(42.37009, -83.18671)"
BUS1998-00064,10039 STRATHMOOR,22038173.,PETTAWAY'S LAWN CARE SERVICE,LASANDRA REYNOLDS,04/10/2015,Renewal,Landscape Gardener,Other,"location
(42.37009, -83.18671)"
BUS1998-00064,10039 STRATHMOOR,22038173.,PETTAWAY'S LAWN CARE SERVICE,LASANDRA REYNOLDS,04/13/2016,Renewal,Landscape Gardner-Plate(s),Other,"location
(42.37009, -83.18671)"
BUS1998-00070,1009 CASS,02000201-2,SALFA LLC,SALFA LLC,01/26/2016,New Owner,Parking Lot-Plate (301 cars & up),Corporation,"location
(42.33025, -83.05205)"
BUS1998-00092,8536 LINWOOD,10007429.,"LINWOOD JOY, INC.","LINWOOD JOY, INC.",01/23/2015,Renewal,Cigarette - Retail,Corporation,"location
(42.36865, -83.10518)"
BUS1998-00092,8536 LINWOOD,10007429.,"LINWOOD JOY, INC.","LINWOOD JOY, INC.",01/23/2015,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36865, -83.10518)"
BUS1998-00092,8536 LINWOOD,10007429.,"LINWOOD JOY, INC.","LINWOOD JOY, INC.",09/20/2016,Renewal,Cigarette - Retail,Corporation,"location
(42.36865, -83.10518)"
BUS1998-00092,8536 LINWOOD,10007429.,"LINWOOD JOY, INC.","LINWOOD JOY, INC.",09/20/2016,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36865, -83.10518)"
BUS1998-00048,15418 SCHOOLCRAFT,22009714-21,LOLA MAE'S BISTRO BAR,ENCORE ENTERPRISE INC,02/05/2016,New Owner,Loc. Permit(Coin-op games) w/Class C,Corporation,"location
(42.38733, -83.19736)"
BUS1998-00048,15418 SCHOOLCRAFT,22009714-21,LOLA MAE'S BISTRO BAR,ENCORE ENTERPRISE INC,02/05/2016,New Owner,Billiard Table Tag(s) Self-Owned Unit(s),Corporation,"location
(42.38733, -83.19736)"
BUS1998-00048,15418 SCHOOLCRAFT,22009714-21,LOLA MAE'S BISTRO BAR,ENCORE ENTERPRISE INC,02/05/2016,New Owner,Restaurant W/Class C (MLCC) Lic.(151 seats & over),Corporation,"location
(42.38733, -83.19736)"
BUS1998-00048,15418 SCHOOLCRAFT,22009714-21,LOLA MAE'S BISTRO BAR,ENCORE ENTERPRISE INC,02/05/2016,New Owner,Cabaret A - W/MLCC /with Dance & Entertainment,Corporation,"location
(42.38733, -83.19736)"
BUS1997-01837,19458 CONANT,13025211-6,HASHBROWN'S CONEY ISLAND,HOWARD & JEANINE TAYLOR,05/20/2017,Renewal,Restaurant - Standard (1-30 seats),Partnership,"location
(42.43772, -83.07687)"
BUS1998-00029,13611 W GRAND RIVER,22006939-43,"GALAXY CONEY ISLAND, INC","GALAXY CONEY ISLAND, INC.",06/14/2017,New Owner,Restaurant - Standard (1-30 seats),Corporation,"location
(42.38451, -83.17864)"
BUS1998-00029,13611 W GRAND RIVER,22006939-43,"GALAXY CONEY ISLAND, INC","GALAXY CONEY ISLAND, INC.",06/14/2017,New Owner,Loc. Permit(Coin-op games) Limit 2,Corporation,"location
(42.38451, -83.17864)"
BUS1998-00029,13611 W GRAND RIVER,22006939-43,"GALAXY CONEY ISLAND, INC","GALAXY CONEY ISLAND, INC.",07/17/2018,New Owner,Restaurant - Standard (1-30 seats),Corporation,"location
(42.38451, -83.17864)"
BUS1998-00029,13611 W GRAND RIVER,22006939-43,"GALAXY CONEY ISLAND, INC","GALAXY CONEY ISLAND, INC.",07/17/2018,New Owner,Loc. Permit(Coin-op games) Limit 2,Corporation,"location
(42.38451, -83.17864)"
BUS1997-01836,910 S DIX,20017129-69,NES EQUIPMENT,NES EQUIPMENT,06/26/2018,Renewal,Motor Truck Permit(s),Other,"location
(42.28835, -83.15874)"
BUS1997-01836,910 S DIX,20017129-69,NES EQUIPMENT,NES EQUIPMENT,01/12/2017,Renewal,Motor Truck Permit(s),Other,"location
(42.28835, -83.15874)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/09/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/09/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00058,17171 LIVERNOIS,16017737-42,"CAPTAIN JAY'S #111, LLC","CAPTAIN JAY'S #111, LLC",09/03/2015,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41826, -83.14131)"
BUS1998-00058,17171 LIVERNOIS,16017737-42,"CAPTAIN JAY'S #111, LLC","CAPTAIN JAY'S #111, LLC",04/28/2016,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41826, -83.14131)"
BUS1998-00040,17124 WYOMING,16037595-6,COURTYARD FOOD MRKET INC.,COURTYARD FOOD MARKET INC.,09/26/2018,NLOL,Cigarette - Retail,Corporation,"location
(42.41741, -83.16009)"
BUS1998-00040,17124 WYOMING,16037595-6,COURTYARD FOOD MRKET INC.,COURTYARD FOOD MARKET INC.,10/17/2017,NLOL,Cigarette - Retail,Corporation,"location
(42.41741, -83.16009)"
BUS1997-01835,24600 W MCNICHOLS,22013474-6,,"DOUBLE J MINI MART, INC",08/17/2016,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41464, -83.28392)"
BUS1998-00113,P.O. BOX 480399,,"DRAKE ENTERPRISES, INC.","DRAKE ENTERPRISES, INC.",01/19/2017,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00113,P.O. BOX 480399,,"DRAKE ENTERPRISES, INC.","DRAKE ENTERPRISES, INC.",03/29/2018,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00113,P.O. BOX 480399,,"DRAKE ENTERPRISES, INC.","DRAKE ENTERPRISES, INC.",01/14/2016,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",11/25/2015,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",03/02/2017,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",12/12/2016,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",03/08/2016,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",02/24/2016,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",01/05/2015,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",02/21/2018,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00114,8111 RAWSONVILLE RD.,,"FOX AUTO PARTS, INC.","FOX AUTO PARTS, INC.",01/07/2015,Renewal,Motor Truck Permit(s),Corporation,
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/15/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/15/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,03/12/2018,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,03/12/2018,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/15/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/15/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/22/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/22/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/09/2017,New Owner,Restaurant - Carry Out (No Seats),Corporation,"location
(42.36203, -83.12222)"
BUS1998-00094,8560 W GRAND RIVER,,DBA:  JACKIE'S LIQUOR,A LIQUOR,08/09/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.36203, -83.12222)"
BUS1998-00103,880 W MCNICHOLS,02002501.,CAESAR FOOD CENTER,"CAESARS PALACE LIQUOR, INC.",08/31/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.41785, -83.11449)"
BUS1998-00103,880 W MCNICHOLS,02002501.,CAESAR FOOD CENTER,"CAESARS PALACE LIQUOR, INC.",10/18/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.41785, -83.11449)"
BUS1998-00103,880 W MCNICHOLS,02002501.,CAESAR FOOD CENTER,"CAESARS PALACE LIQUOR, INC.",04/27/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.41785, -83.11449)"
BUS1998-00154,48655 N GRATIOT,,"STERLING SANITATION, INC.","STERLING SANITATION, INC.",04/29/2015,Renewal,Motor Truck Permit(s),Corporation,"location
(42.33307, -83.04761)"
BUS1998-00154,48655 N GRATIOT,,"STERLING SANITATION, INC.","STERLING SANITATION, INC.",01/12/2017,Renewal,Motor Truck Permit(s),Corporation,"location
(42.33307, -83.04761)"
BUS1998-00154,48655 N GRATIOT,,"STERLING SANITATION, INC.","STERLING SANITATION, INC.",04/26/2016,Renewal,Motor Truck Permit(s),Corporation,"location
(42.33307, -83.04761)"
BUS1998-00154,48655 N GRATIOT,,"STERLING SANITATION, INC.","STERLING SANITATION, INC.",03/19/2018,Renewal,Motor Truck Permit(s),Corporation,"location
(42.33307, -83.04761)"
BUS1998-00180,18501 KRAU SE,,SST LEASING LLC,VALENTINO SIMONE,03/06/2018,Renewal,Motor Truck Permit(s),Other,
BUS1998-00180,18501 KRAU SE,,SST LEASING LLC,VALENTINO SIMONE,03/14/2016,Renewal,Motor Truck Permit(s),Other,
BUS1998-00180,18501 KRAU SE,,SST LEASING LLC,VALENTINO SIMONE,01/13/2017,Renewal,Motor Truck Permit(s),Other,
BUS1998-00180,18501 KRAU SE,,SST LEASING LLC,VALENTINO SIMONE,10/18/2017,Renewal,Motor Truck Permit(s),Other,
BUS1998-00180,18501 KRAU SE,,SST LEASING LLC,VALENTINO SIMONE,03/13/2015,Renewal,Motor Truck Permit(s),Other,
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,11/04/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.4309, -83.19533)"
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,11/04/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.4309, -83.19533)"
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,08/14/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.4309, -83.19533)"
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,08/14/2017,New Owner,Gas Station (Self Service),Corporation,"location
(42.4309, -83.19533)"
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,08/05/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.4309, -83.19533)"
BUS1998-00187,15100 W SEVEN MILE,22017299-304,"7 MILE & COYLE FUELS, INC",7 MILE & COYLE FUELS INC,08/05/2016,New Owner,Gas Station (Self Service),Corporation,"location
(42.4309, -83.19533)"
BUS1998-00169,15880 LIVERNOIS,12013223-7,CHARBEL MART LLC,CHARBEL MART LLC,01/11/2017,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.40895, -83.14009)"
BUS1998-00169,15880 LIVERNOIS,12013223-7,CHARBEL MART LLC,CHARBEL MART LLC,08/25/2017,New Owner,Gas Station (Self Service),Limited Liability Co,"location
(42.40895, -83.14009)"
BUS1998-00169,15880 LIVERNOIS,12013223-7,CHARBEL MART LLC,CHARBEL MART LLC,08/25/2017,New Owner,Cigarette - Retail,Limited Liability Co,"location
(42.40895, -83.14009)"
BUS1998-00190,16901 TELEGRAPH,22013417.002L,SUN CHINA RESTAURANT,"H.K. COMPANY, INC.",05/22/2017,Renewal,Restaurant W/Class C (MLCC) Lic.( 31-50 seats),Corporation,"location
(42.41367, -83.27776)"
BUS1998-00190,16901 TELEGRAPH,22013417.002L,SUN CHINA RESTAURANT,"H.K. COMPANY, INC.",04/25/2018,Renewal,Restaurant W/Class C (MLCC) Lic.( 31-50 seats),Corporation,"location
(42.41367, -83.27776)"
BUS1998-00190,16901 TELEGRAPH,22013417.002L,SUN CHINA RESTAURANT,"H.K. COMPANY, INC.",05/18/2016,Renewal,Restaurant W/Class C (MLCC) Lic.( 31-50 seats),Corporation,"location
(42.41367, -83.27776)"
BUS1998-00190,16901 TELEGRAPH,22013417.002L,SUN CHINA RESTAURANT,"H.K. COMPANY, INC.",04/15/2015,Renewal,Restaurant W/Class C (MLCC) Lic.( 31-50 seats),Corporation,"location
(42.41367, -83.27776)"
BUS1998-00181,903 W GRAND BLVD,14008264-5,ALTERNATIVES FOR GIRLS,ALTERNATIVES FOR GIRLS,09/10/2018,Renewal,Shelter - (1-50 Clients),Corporation,"location
(42.33292, -83.09752)"
BUS1998-00181,903 W GRAND BLVD,14008264-5,ALTERNATIVES FOR GIRLS,ALTERNATIVES FOR GIRLS,09/12/2016,Renewal,Shelter - (1-50 Clients),Corporation,"location
(42.33292, -83.09752)"
BUS1998-00181,903 W GRAND BLVD,14008264-5,ALTERNATIVES FOR GIRLS,ALTERNATIVES FOR GIRLS,08/23/2017,Renewal,Shelter - (1-50 Clients),Corporation,"location
(42.33292, -83.09752)"
BUS1998-00181,903 W GRAND BLVD,14008264-5,ALTERNATIVES FOR GIRLS,ALTERNATIVES FOR GIRLS,09/22/2015,Renewal,Shelter - (1-50 Clients),Corporation,"location
(42.33292, -83.09752)"
BUS1998-00212,13001 W EIGHT MILE,22018568-9,YEMEN FUEL MART INC,YEMEN FUEL MART INC,08/11/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.44495, -83.1751)"
BUS1998-00212,13001 W EIGHT MILE,22018568-9,YEMEN FUEL MART INC,YEMEN FUEL MART INC,08/11/2016,New Owner,Gas Station (Self Service),Corporation,"location
(42.44495, -83.1751)"
BUS1998-00197,445 LEDYARD,,MARINERS INN,EXEC COUNCIL PROTESTANT EPISCO,11/23/2016,Renewal,Shelter - (101-200 Clients),Corporation,"location
(42.33978, -83.0584)"
BUS1998-00197,445 LEDYARD,,MARINERS INN,EXEC COUNCIL PROTESTANT EPISCO,09/13/2016,Renewal,Shelter - (101-200 Clients),Corporation,"location
(42.33978, -83.0584)"
BUS1998-00197,445 LEDYARD,,MARINERS INN,EXEC COUNCIL PROTESTANT EPISCO,06/06/2016,Renewal,Shelter - (101-200 Clients),Corporation,"location
(42.33978, -83.0584)"
BUS1998-00197,445 LEDYARD,,MARINERS INN,EXEC COUNCIL PROTESTANT EPISCO,09/15/2016,Renewal,Shelter - (101-200 Clients),Corporation,"location
(42.33978, -83.0584)"
BUS1998-00206,11742 CONNER,21046324-5,MR. GROCERS,"KAT PARTY STORE , INC.",08/18/2015,Renewal,Cigarette - Retail,Corporation,"location
(42.41081, -83.00466)"
BUS1998-00206,11742 CONNER,21046324-5,MR. GROCERS,"KAT PARTY STORE , INC.",08/18/2015,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41081, -83.00466)"
BUS1998-00206,11742 CONNER,21046324-5,MR. GROCERS,"KAT PARTY STORE , INC.",05/20/2015,Renewal,Cigarette - Retail,Corporation,"location
(42.41081, -83.00466)"
BUS1998-00206,11742 CONNER,21046324-5,MR. GROCERS,"KAT PARTY STORE , INC.",05/20/2015,Renewal,Restaurant - Carry Out (No Seats),Corporation,"location
(42.41081, -83.00466)"
BUS1998-00206,11742 CONNER,21046324-5,MR. GROCERS,"KAT PARTY STORE , INC.",08/17/2016,Renewal,Cigarette - Retail,Corporation,"location
(42.41081, -83.00466)"
BUS1998-00188,19700 LIVERNOIS,02004443-4,SHERWOOD CONEY ISLAND,GJETO VULAJ,09/25/2015,Renewal,Restaurant - Standard (1-30 seats),Sole Proprietor,"location
(42.43719, -83.14136)"
BUS1998-00298,21100 W MCNICHOLS,22013596.,IN & OUT FOOD #4,"G. YONO'S IN & OUT, INC.",04/05/2016,New Owner,Cigarette - Retail,Corporation,"location
(42.41516, -83.24951)"
BUS1998-00212,13001 W EIGHT MILE,22018568-9,YEMEN FUEL MART INC,YEMEN FUEL MART INC,08/26/2015,New Owner,Cigarette - Retail,Corporation,"location
(42.44495, -83.1751)"
BUS1998-00212,13001 W EIGHT MILE,22018568-9,YEMEN FUEL MART INC,YEMEN FUEL MART INC,08/26/2015,New Owner,Gas Station (Self Service),Corporation,"location
(42.44495, -83.1751)"
BUS1998-00212,13001 W EIGHT MILE,22018568-9,YEMEN FUEL MART INC,YEMEN FUEL MART INC,08/03/2017,New Owner,Cigarette - Retail,Corporation,"location
(42.44495, -83.1751)"
